0.03341 1.00000 1.00000 0.00000 2.50000
0.10040 1.00000 1.00000 0.00000 2.50000
0.16857 1.00000 1.00000 0.00000 2.50000
0.24193 0.99039 0.98657 0.01141 2.49036
0.32844 0.77105 0.69489 0.29977 2.25307
0.43642 0.55369 0.43709 0.65969 1.97354
0.56425 0.42632 0.30313 0.92745 1.77760
0.70005 0.42632 0.30313 0.92745 1.77760
0.77958 0.26557 0.30313 0.92745 2.85354
0.80808 0.26557 0.30313 0.92745 2.85354
0.84128 0.26557 0.30313 0.92745 2.85354
0.87304 0.26557 0.30313 0.92745 2.85354
0.90465 0.26557 0.30313 0.92745 2.85354
0.93802 0.26557 0.30313 0.92745 2.85354
0.97973 0.12500 0.10000 0.00000 2.00000
